customerID,churn_real,churn_predicho,probabilidad_churn,Contract,MonthlyCharges,tenure,segmento_riesgo
0004-TLHLJ,1,1.0,0.84882918356083,Month-to-month,73.9,4,Alto
0013-SMEOE,0,0.0,0.1952296884224568,Two year,109.7,71,Bajo
0015-UOCOJ,0,1.0,0.6226988447324439,Month-to-month,48.2,7,Medio
0016-QLJIS,0,0.0,0.08977430825987975,Two year,90.45,65,Bajo
0019-EFAEP,0,0.0,0.20592825851128205,Two year,101.3,72,Bajo
0019-GFNTW,0,0.0,0.08473974623039182,Two year,45.05,56,Bajo
0020-INWCK,0,0.0,0.21946226202762376,Two year,95.75,71,Bajo
0023-HGHWL,1,1.0,0.8568609440004928,Month-to-month,25.1,1,Alto
0023-XUOPT,1,1.0,0.8312895002841494,Month-to-month,94.1,13,Alto
0030-FNXPP,0,0.0,0.3417670251849779,Month-to-month,19.85,3,Bajo
0031-PVLZI,1,0.0,0.2746876289474789,Month-to-month,20.35,4,Bajo
0042-JVWOJ,0,0.0,0.12704521299768612,One year,19.6,26,Bajo
0042-RLHYP,0,0.0,0.01635299558100567,Two year,19.7,69,Bajo
0048-LUMLS,0,1.0,0.38399467620042704,One year,91.2,37,Bajo
0052-DCKON,0,0.0,0.14661086349001595,One year,115.8,66,Bajo
0056-EPFBG,0,0.0,0.2837022276443656,Two year,39.4,20,Bajo
0057-QBUQH,0,0.0,0.09465518630606551,Two year,25.1,43,Bajo
0064-YIJGF,0,1.0,0.6244098451786031,Month-to-month,75.75,27,Medio
0071-NDAFP,0,0.0,0.11463087849135489,Two year,25.5,25,Bajo
0074-HDKDG,0,0.0,0.19556645326486255,One year,61.6,25,Bajo
0078-XZMHT,0,0.0,0.1196768409003689,Two year,85.15,72,Bajo
0080-EMYVY,0,0.0,0.31116193709744,One year,51.45,14,Bajo
0080-OROZO,0,1.0,0.5056200370686268,One year,99.25,35,Medio
0082-OQIQY,0,1.0,0.6874863667074312,Month-to-month,94.2,29,Medio
0089-IIQKO,0,1.0,0.5077433772623718,Month-to-month,99.95,39,Medio
0096-BXERS,0,1.0,0.6491400936326686,Month-to-month,50.35,6,Medio
0096-FCPUF,0,1.0,0.4479935178974561,Month-to-month,64.5,30,Medio
0106-UGRDO,0,0.0,0.24106044344094013,Two year,116.0,69,Bajo
0107-YHINA,1,1.0,0.9175814381625127,Month-to-month,99.75,1,Alto
0114-PEGZZ,0,1.0,0.7483609881419311,Month-to-month,107.55,33,Alto
0114-RSRRW,0,0.0,0.326237448973954,Month-to-month,19.95,10,Bajo
0122-OAHPZ,1,1.0,0.8542316581598285,Month-to-month,73.85,7,Alto
0125-LZQXK,1,1.0,0.8021691851791763,Month-to-month,101.35,15,Alto
0134-XWXCE,0,0.0,0.1805939039049439,One year,74.85,44,Bajo
0151-ONTOV,1,1.0,0.7952590707185636,Month-to-month,70.9,1,Alto
0178-CIIKR,0,0.0,0.3417012591388465,Month-to-month,19.95,3,Bajo
0196-VULGZ,1,1.0,0.9174520030807252,Month-to-month,84.35,6,Alto
0203-HHYIJ,1,0.0,0.1252960923414107,One year,25.3,25,Bajo
0206-OYVOC,0,0.0,0.06209173598086215,Two year,19.25,46,Bajo
0206-TBWLC,0,0.0,0.28450852963581286,One year,114.65,54,Bajo
0215-BQKGS,0,1.0,0.5026186857772288,Month-to-month,84.3,30,Medio
0219-QAERP,0,0.0,0.07695546511910245,One year,19.8,30,Bajo
0221-WMXNQ,0,1.0,0.7766959823261746,Month-to-month,75.35,4,Alto
0224-HJAPT,1,1.0,0.6645176532842028,Month-to-month,47.15,5,Medio
0233-FTHAV,0,0.0,0.25133820322549394,One year,79.2,60,Bajo
0236-HFWSV,1,1.0,0.8902761871413559,Month-to-month,93.35,15,Alto
0248-PGHBZ,0,0.0,0.15891054082691825,Two year,92.45,67,Bajo
0254-FNMCI,0,0.0,0.17493324309198688,Two year,109.9,72,Bajo
0260-ZDLGK,1,1.0,0.5804035620112505,Month-to-month,72.9,9,Medio
0265-PSUAE,0,1.0,0.6568257007745113,Month-to-month,100.7,16,Medio
0269-XFESX,0,0.0,0.11594556395651301,One year,24.35,23,Bajo
0277-BKSQP,0,1.0,0.6529182194369729,Month-to-month,54.4,8,Medio
0298-XACET,0,0.0,0.15776105749980474,Two year,50.2,52,Bajo
0305-SQECB,0,0.0,0.3255784029437734,One year,36.05,11,Bajo
